1,age for marriage
1,I Love my fiance
1,married couple
1, marry without the permission of parents
1, I Marry my girl friend
1, I Marry my boy friend
1,Marrying my love
1,Marriage life
1,registered office
1,marriage registered office
1,marriage registrar 
1,conditions for marriage
1,marry two girls at the same time
1,marriage types 
1,Deega marriage
1,Binna marriage
1,Muslim marriage
1,reasons to cancel marriages
1, general marriage law
1,need to get married
1,witnesses for marriage 
1,registration of a marriage
1,registration fee
1,registering office 
1,marriage certificate
1, living together 
1,marry an animal
1,cancel marriage registration
1,I love my husband
1,I love my wife
1,Can I be a good wife
1,I love my fiancee
1,Can I marry
1,Can I marry my girl friend
1,I want to engage my girlfriend
1,I want to engage my boylfriend
1,propose a girl
1,I love my hubby
1,living together relationship
1,living together before marriage
1,Living together
1,Unregistered marriage
1,marriageable age
1,witness for marriage
1,marriage age Sri Lanka
1,legal marriage
1,matching couple
1,matrimonial proposal
1,monogamy marriage
1,wedded life
1,engaged with my love
1,engaged with boy friend
1,engaged with girl friend
1,married state
1,marriage ceremony
1,civil marriage 
1,by marriage
1,in marriage
1,born in wedlock 
1,wedlock etymology
1, our Big day
1,holy matrimony
1,nullity of marriage in sri lanka
1,Wedding bell
1,will i marry my crush
1,sign the marriage register
1,dowry in marriage
1,I found my love
1,I found life partner
1,How to find my  life partner
1,conjugal rights
1,domestic partner
1,I want to marry a widow woman
1,To get married
1,I want to know about my dowry
1,marriage purpose
1, rules of marriage
1,my marriage is valid
2,allowances for divorce
2,i want a divorce my husband
2, I want to divorce my wife
2,I want to get divorce
2,Documents for divorce
2, I file a divorce case
2,Does divorce make me happy
2,Can I separate 
2,my husband I want a divorce
2, legal separation
2,property divided after divorce
2, child custody agreements
2, separate maintenance
2,how do i tell my husband i want a divorce
2,I hate my husband
2,my husband wants a divorce but i don't 
2,my wife wants a divorce but i don't 
2,I want to separate
2,Can I separate 
2,husband wants to come back after separation
2,I want to get divorce paper
2,wife asking for divorce
2,Husband asking for divorce
2,breaking up
2,break up
2,parental guardianship
2, legal guardian
2,filing for a guardianship
2,guardianship of a child
2, cost to get guardianship of a child
2,adoption of divorce
2,custodian maintenance
2,divorce alimony
2,my divorce case was rejected
2,can I reject divorce
2,decree absolute
2,I want to dissolution
2,joint custody
2,split up
2,I separated
2,I want to separate
2,Can I divorce my wife if she cheated on me
2, wife get half in divorce
2,Can my husband divorce me without my knowledg
2,Can husband and wife live separately without divorce
2, adultery in a divorce
2,spouse doesn't want a divorce
2,Can wife ask for maintenance before divorce
2,Is separation good for a marriage
2,Can text messages be used in divorce court
2,My husband refused divirce
2,My wife refused divirce
2, can I make divorce easier
2,How do I leave my husband
2,How do I leave my wife
2,procedure for mutual divorce
2,apply for a divorce
2,grounds for divorce
2,Can I divorce for no reason
2,Parenting Time
2,Legal Custody
2,Child Custody
2,Post-Separation Support
2,Physical Custody 
2,Supervised Visitation
2,Temporary Parenting Arrangement 
2,​Seperation agreements
2,Decree Of Dissolution
2,No-Fault Divorce
2,Spousal Maintenance
2,get a divorce 
2,judicial separation
2,split up with a partner
2,split up from
2,detachment with 
2,breaking off
2,disengagement from
